bore_d_min,bore_d_max,C2_min,C2_max,Normal_min,Normal_max,C3_min,C3_max,C4_min,C4_max,C5_min,C5_max
0,2.5,,,,,,,,,,
2.5,6,0,7,2,13,8,23,,,, 
6,10,0,7,2,13,8,23,14,29,20,37
10,18,0,9,3,18,11,25,18,33,25,45
18,24,0,10,5,20,13,28,20,36,28,48
24,30,0,11,5,20,13,28,23,41,30,53
30,40,1,11,6,20,15,33,28,46,40,64
40,50,1,11,6,23,18,36,30,51,45,73
50,65,1,15,8,28,23,43,38,61,55,90
65,80,1,15,10,30,25,51,46,71,65,105
80,100,1,18,12,36,30,58,53,84,75,120
100,120,2,20,15,41,36,66,61,97,90,140
120,140,2,23,18,48,41,81,71,114,105,160
140,160,2,23,18,53,46,91,81,130,120,180
160,180,2,25,20,61,53,102,91,147,135,200
180,200,2,30,25,71,63,117,107,163,150,230
200,225,2,35,25,85,75,140,125,195,175,265
225,250,2,40,30,95,85,160,145,225,205,300
250,280,2,45,35,105,90,170,155,245,225,340
280,315,2,55,40,115,100,190,175,270,245,370
315,355,3,60,45,125,110,210,195,300,275,410
355,400,3,70,55,145,130,240,225,340,315,460
400,450,3,80,60,170,150,270,250,380,350,520
450,500,5,90,70,190,170,300,280,420,390,570
500,560,10,100,80,210,190,330,310,470,440,630
560,630,10,110,90,230,210,360,340,520,490,700
630,710,20,130,110,260,240,400,380,570,540,780
710,800,20,140,120,290,270,450,430,630,600,860
800,900,20,160,140,320,300,500,480,700,670,960
900,1000,20,170,150,350,330,550,530,770,740,1040
1000,1120,20,180,160,380,360,600,580,850,820,1150
1120,1250,20,190,170,410,390,650,630,920,890,1260
1250,1400,30,200,190,440,420,700,680,1000,,
1400,1600,30,210,200,470,450,750,730,1060,,
