type, series, R1, R2, R3, R4, S1, S2, S3, S4, S5
deep_groove_ball, 2,              4.4e-7,  1.7,     ,        , 2.00e-3, 100,    ,       ,
deep_groove_ball, 3,              4.4e-7,  1.7,     ,        , 2.00e-3, 100,    ,       ,
deep_groove_ball, 42,             5.4e-7,  0.96,    ,        , 3.00e-3, 40,     ,       ,
deep_groove_ball, 43,             5.4e-7,  0.96,    ,        , 3.00e-3, 40,     ,       ,
deep_groove_ball, 60,             4.1e-7,  1.7,     ,        , 3.73e-3, 14.6,   ,       ,
deep_groove_ball, 630,            4.1e-7,  1.7,     ,        , 3.73e-3, 14.6,   ,       ,
deep_groove_ball, 62,             3.9e-7,  1.7,     ,        , 3.23e-3, 36.5,   ,       ,
deep_groove_ball, 622,            3.9e-7,  1.7,     ,        , 3.23e-3, 36.5,   ,       ,
deep_groove_ball, 63,             3.7e-7,  1.7,     ,        , 2.84e-3, 92.8,   ,       ,
deep_groove_ball, 623,            3.7e-7,  1.7,     ,        , 2.84e-3, 92.8,   ,       ,
deep_groove_ball, 64,             3.6e-7,  1.7,     ,        , 2.43e-3, 198,    ,       ,
deep_groove_ball, 160,            4.3e-7,  1.7,     ,        , 4.63e-3, 4.25,   ,       ,
deep_groove_ball, 161,            4.3e-7,  1.7,     ,        , 4.63e-3, 4.25,   ,       ,
deep_groove_ball, 617,            4.7e-7,  1.7,     ,        , 6.50e-3, 0.78,   ,       ,
deep_groove_ball, 618,            4.7e-7,  1.7,     ,        , 6.50e-3, 0.78,   ,       ,
deep_groove_ball, 628,            4.7e-7,  1.7,     ,        , 6.50e-3, 0.78,   ,       ,
deep_groove_ball, 637,            4.7e-7,  1.7,     ,        , 6.50e-3, 0.78,   ,       ,
deep_groove_ball, 638,            4.7e-7,  1.7,     ,        , 6.50e-3, 0.78,   ,       ,
deep_groove_ball, 619,            4.3e-7,  1.7,     ,        , 4.75e-3, 3.6,    ,       ,
deep_groove_ball, 639,            4.3e-7,  1.7,     ,        , 4.75e-3, 3.6,    ,       ,
angular_contact_ball, 72xx BECBP, 4.33e-7, 2.02,   2.44e-12, , 1.82e-2, 0.71,  2.44e-12, ,
angular_contact_ball, 73xx BECBP, 4.54e-7, 2.02,   1.84e-12, , 1.64e-2, 0.71,  1.84e-12, ,
angular_contact_ball, 72xx ACCBM, 3.58e-7, 3.64,   3.55e-12, , 1.14e-2, 1.55,  3.55e-12, ,
angular_contact_ball, 73xx ACCBM, 3.48e-7, 3.64,   1.66e-12, , 9.85e-3, 1.55,  1.66e-12, ,
angular_contact_ball, 32xx A,     5.18e-7, 1.63,   4.18e-12, , 1.08e-2, 1.47,  4.18e-12, ,
angular_contact_ball, 33xx A,     5.31e-7, 1.63,   8.83e-13, , 5.48e-3, 1.47,  8.83e-13, ,
angular_contact_ball, four_point, 4.78e-7, 2.42,   1.40e-12, , 1.20e-2, 0.9,   1.40e-12, ,
self_aligning_ball, 12,           3.25e-7, 6.51,   2.43e-12, , 4.36e-3, 9.33,  2.43e-12, ,
self_aligning_ball, 13,           3.11e-7, 5.76,   3.52e-12, , 5.76e-3, 8.03,  3.52e-12, ,
self_aligning_ball, 22,           3.13e-7, 5.54,   3.12e-12, , 5.84e-3, 6.60,  3.12e-12, ,
self_aligning_ball, 23,           3.11e-7, 3.87,   5.41e-12, , 0.01,    4.35,  5.41e-12, ,
self_aligning_ball, 112,          3.25e-7, 6.16,   2.48e-12, , 4.33e-3, 8.44,  2.48e-12, ,
self_aligning_ball, 130,          2.39e-7, 5.81,   1.10e-12, , 7.25e-3, 7.98,  1.10e-12, ,
self_aligning_ball, 139,          2.44e-7, 7.96,   5.63e-13, , 4.51e-3, 12.11, 5.63e-13, ,
cylindrical_roller, 2,            1.09e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 3,            1.09e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 4,            1.00e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 10,           1.12e-6, ,       ,        , 0.17,    0.0015, ,       ,
cylindrical_roller, 12,           1.23e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 20,           1.23e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 22,           1.40e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 23,           1.48e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 22_high_cap,  1.54e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, 23_high_cap,  1.63e-6, ,       ,        , 0.16,    0.0015, ,       ,
cylindrical_roller, all_full_comp, 2.13e-6, ,      ,        , 0.16,    0.0015, ,       ,
tapered_roller, 302,              1.76e-6, 10.9,   ,        , 0.017,   2,      ,       ,
tapered_roller, 303,              1.69e-6, 10.9,   ,        , 0.017,   2,      ,       ,
tapered_roller, 313 X,            1.84e-6, 10.9,   ,        , 0.048,   2,      ,       ,
tapered_roller, 320 X,            2.38e-6, 10.9,   ,        , 0.014,   2,      ,       ,
tapered_roller, 322,              2.27e-6, 10.9,   ,        , 0.018,   2,      ,       ,
tapered_roller, 322 B,            2.38e-6, 10.9,   ,        , 0.026,   2,      ,       ,
tapered_roller, 323,              2.38e-6, 10.9,   ,        , 0.019,   2,      ,       ,
tapered_roller, 323 B,            2.79e-6, 10.9,   ,        , 0.030,   2,      ,       ,
tapered_roller, 329,              2.31e-6, 10.9,   ,        , 0.009,   2,      ,       ,
tapered_roller, 330,              2.71e-6, 11.3,   ,        , 0.010,   2,      ,       ,
tapered_roller, 331,              2.71e-6, 10.9,   ,        , 0.015,   2,      ,       ,
tapered_roller, 332,              2.71e-6, 10.9,   ,        , 0.018,   2,      ,       ,
tapered_roller, LL,               1.72e-6, 10.9,   ,        , 0.0057,  2,      ,       ,
tapered_roller, L,                2.19e-6, 10.9,   ,        , 0.0093,  2,      ,       ,
tapered_roller, LM,               2.25e-6, 10.9,   ,        , 0.011,   2,      ,       ,
tapered_roller, M,                2.48e-6, 10.9,   ,        , 0.015,   2,      ,       ,
tapered_roller, HM,               2.60e-6, 10.9,   ,        , 0.020,   2,      ,       ,
tapered_roller, H,                2.66e-6, 10.9,   ,        , 0.025,   2,      ,       ,
tapered_roller, HH,               2.51e-6, 10.9,   ,        , 0.027,   2,      ,       ,
tapered_roller, all_other,        2.31e-6, 10.9,   ,        , 0.019,   2,      ,       ,
spherical_roller, 213 E,          1.6e-6,  5.84,   2.81e-6, 5.8,  3.62e-3, 508,   8.8e-3,  117,
spherical_roller, 222 E,          1.6e-6,  5.84,   2.81e-6, 5.8,  3.62e-3, 508,   8.8e-3,  117,
spherical_roller, 222,            2.0e-6,  5.54,   2.92e-6, 5.5,  5.10e-3, 414,   9.7e-3,  100,
spherical_roller, 223,            1.7e-6,  4.1,    3.13e-6, 4.05, 6.92e-3, 124,   1.7e-2,  41,
spherical_roller, 223 E,          1.6e-6,  4.1,    3.14e-6, 4.05, 6.23e-3, 124,   1.7e-2,  41,
spherical_roller, 230,            2.4e-6,  6.44,   3.76e-6, 6.4,  4.13e-3, 755,   1.1e-2,  160,
spherical_roller, 231,            2.4e-6,  4.7,    4.04e-6, 4.72, 6.70e-3, 231,   1.7e-2,  65,
spherical_roller, 232,            2.3e-6,  4.1,    4.00e-6, 4.05, 8.66e-3, 126,   2.1e-2,  41,
spherical_roller, 238,            3.1e-6,  12.1,   3.82e-6, 12,   1.74e-3, 9495,  5.9e-3,  1057,
spherical_roller, 239,            2.7e-6,  8.53,   3.87e-6, 8.47, 2.77e-3, 2330,  8.5e-3,  371,
spherical_roller, 240,            2.9e-6,  4.87,   4.78e-6, 4.84, 6.95e-3, 240,   2.1e-2,  68,
spherical_roller, 241,            2.6e-6,  3.8,    4.79e-6, 3.7,  1.00e-2, 86.7,  2.9e-2,  31,
